Date,Forecast,Lower CI,Upper CI
2024-11-14,6091.6227020308215,5408.037377269195,6786.172184667996
2024-11-17,6000.137451215042,5337.400157753086,6704.300640510024
2024-11-18,6032.561907441771,5369.519497746306,6707.725263630026
2024-11-19,6103.453158934422,5407.271876178819,6747.241784901535
2024-11-20,6141.509685563278,5453.743727774584,6791.503050703429
2024-11-21,6132.770752951657,5414.158116442811,6831.98184294766
2024-11-24,6045.594043662889,5310.742623957275,6761.523910810075
2024-11-25,6082.653871788583,5403.118560638809,6753.75435281753
2024-11-26,6160.113872898556,5490.315742063649,6905.587973783963
2024-11-27,6206.778762272761,5538.395191500165,6875.676156749046
2024-11-28,6208.7216392990795,5534.3942755544085,6866.880971707301
2024-12-01,6165.2008905938765,5432.260271534591,6857.481683445844
2024-12-02,6220.008269671071,5478.143316661281,6905.359907002238
2024-12-03,6316.2831432439225,5662.258757676299,7019.214317303048
2024-12-04,6382.405551552714,5689.858737693006,7114.436935019187
2024-12-05,6403.963175271782,5721.002550115967,7077.637670579211
2024-12-08,6414.681795805353,5722.962653694655,7062.005285259
2024-12-09,6484.039517943314,5795.929984877969,7197.641374051034
2024-12-10,6592.078604741293,5900.49320496059,7291.374514426258
2024-12-11,6666.582753874027,5950.898829269665,7337.814899531866
2024-12-12,6692.575430171496,5943.26125392349,7358.886170582358
2024-12-15,6688.064038989976,5957.245910167548,7380.542878644169
2024-12-16,6741.570657591923,6047.036477484998,7472.941201936598
2024-12-17,6827.958244145973,6155.05098250928,7521.733433266338
2024-12-18,6874.91285064406,6173.599124276237,7496.445726593907
2024-12-19,6867.4695292061115,6183.43133778886,7633.102977278766
2024-12-22,6729.13955083284,6038.336021713243,7444.149600781663
2024-12-23,6728.031166408948,6041.070327478768,7421.47288206749
2024-12-24,6755.644956932276,6047.809848928147,7460.563837308495
2024-12-25,6740.317844824043,6029.148695934472,7455.54694383292
2024-12-26,6667.8169352157265,5975.6486487846405,7390.356476796907
2024-12-29,6325.913548175491,5600.9486936448075,7024.0699161742305
2024-12-30,6257.102008011469,5526.274987896016,6871.126033981938
2025-01-01,6139.677091660055,5428.077647918669,6817.335105143962
2025-01-02,6006.938924101687,5297.702665280292,6708.241323516029
2025-01-05,5512.414031138404,4808.255470569943,6204.129560804952
2025-01-06,5404.339699240242,4737.467736401607,6055.581912725332
2025-01-07,5333.2810079129495,4641.551479122074,6038.344450383331
2025-01-08,5228.848915943218,4551.657279552913,5900.722638954398
2025-01-09,5077.935193399673,4383.709991361156,5823.652859220271
2025-01-12,4573.542409658492,3863.5726859922397,5273.65585548767
2025-01-13,4476.697319068391,3785.5994603412305,5144.828227487161
2025-01-14,4423.652369531264,3734.074415153868,5244.942617517284
2025-01-15,4343.573450607229,3641.801873606818,4980.672605541864
2025-01-16,4222.814011685213,3516.3169672744784,4864.976490947836
2025-01-19,3837.1735820096455,3158.1206845417632,4549.038983045709
2025-01-20,3786.892345484328,3154.542886556632,4510.829098707034
2025-01-21,3782.59131116097,3087.3105988853163,4460.003162946305
2025-01-22,3752.6331786212586,3049.9835902063933,4471.772243639549
2025-01-23,3682.5788939080203,2982.2644487361677,4373.046481700753
2025-01-26,3445.1069355107984,2753.524442528264,4199.425354066274
2025-01-27,3440.6657800642083,2718.517870351276,4124.461928739582
2025-01-28,3479.4784085919855,2744.128898537667,4189.404965107929
2025-01-29,3489.454582208336,2806.3952761869045,4147.820253698842
2025-01-30,3455.79003631225,2730.701142345536,4157.394650600823
2025-02-02,3303.94520797552,2599.866298510423,3962.295495763017
2025-02-03,3319.9007076710677,2654.3197110565975,3975.1842300994385
2025-02-04,3375.1087410778855,2670.54428508636,4064.199728429489
2025-02-05,3397.6437564431967,2724.4590665773503,4092.72868347065
2025-02-06,3372.9370593758294,2659.6213411908166,4070.8059074250746
2025-02-09,3229.5790941083446,2546.0006806917168,3896.5741283666125
2025-02-10,3243.520682028247,2564.497659269006,3906.7345617062733
2025-02-11,3295.002909865715,2637.3869001574144,3974.0846652591567
2025-02-12,3312.5414453294807,2595.8379661214067,3988.498000343456
2025-02-13,3282.003239773144,2573.4366510104232,3970.412212545936
2025-02-17,3128.858188284082,2464.549493991044,3818.3537104356624
2025-02-18,3175.9820023811835,2451.3410460022624,3860.9558620522175
2025-02-19,3190.298481712056,2497.604351217043,3906.7033246987894
2025-02-20,3157.8335817661705,2417.3595747543636,3819.9835408560843
2025-02-23,2998.7439822331344,2312.315721994672,3732.7703197296846
2025-02-24,3011.104186071647,2284.18203680256,3666.9558833870615
2025-02-25,3063.171207296214,2343.1820154998886,3739.3692453905524
2025-02-26,3083.5156450031886,2401.2164577030526,3803.7806826822584
2025-02-27,3057.9650643553214,2354.135038443301,3741.183529045727
2025-03-02,2922.528424550438,2191.645663048826,3592.909716158246
2025-03-03,2942.8524329409706,2253.861565142109,3681.77328136149
2025-03-04,3002.461512169729,2322.739109072035,3705.2693061590844
2025-03-05,3029.6560238747497,2341.6013564290624,3782.315051693578
2025-03-06,3010.008075879483,2298.3801052168806,3699.003647506864
2025-03-09,2884.396944468591,2167.8854046996917,3616.7774642949835
2025-03-10,2904.7927766969237,2229.4139892666417,3562.8292373546205
2025-03-11,2962.677064773108,2248.914759224269,3640.3100439769078
2025-03-12,2992.9403181283874,2339.31022729854,3697.445064499784
2025-03-13,2974.497514430663,2229.475654465684,3698.2055553995738
2025-03-16,2841.8472025779274,2185.0002704770914,3571.698658211442
